country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,start,end
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,127,-0.612804878,13635,2239300,747055409,2023-07-31 00:00:00,2023-08-06 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,328,0.929411765,36235,2239173,747041774,2023-07-24 00:00:00,2023-07-30 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,170,-0.282700422,10890,2238845,747005539,2023-07-17 00:00:00,2023-07-23 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,237,-0.417690418,14990,2238675,746994649,2023-07-10 00:00:00,2023-07-16 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,407,-0.274509804,30625,2238438,746979659,2023-07-03 00:00:00,2023-07-09 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,561,-0.451076321,50167,2238031,746949034,2023-06-26 00:00:00,2023-07-02 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,1022,0.069037657,96592,2237470,746898867,2023-06-19 00:00:00,2023-06-25 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,956,-0.366047745,93321,2236448,746802275,2023-06-12 00:00:00,2023-06-18 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,1508,0.511022044,151407,2235492,746708954,2023-06-05 00:00:00,2023-06-11 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,998,1,92871,2233984,746557547,2023-05-29 00:00:00,2023-06-04 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",42,682,-0.647180548,263203,2232986,746464676,2023-05-01 00:00:00,2023-05-07 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",64,1933,0.023834746,750832,2232304,746201473,2023-04-24 00:00:00,2023-04-30 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",65,1888,1,726306,2230371,745450641,2023-04-17 00:00:00,2023-04-23 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,194,-0.730180807,64560,2228483,744724335,2023-03-20 00:00:00,2023-03-26 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",29,719,-0.643353175,236495,2228289,744659775,2023-03-13 00:00:00,2023-03-19 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",48,2016,-0.731914894,692803,2227570,744423280,2023-03-06 00:00:00,2023-03-12 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",59,7520,-0.071031501,2547895,2225554,743730477,2023-02-27 00:00:00,2023-03-05 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",72,8095,-0.448719695,2683409,2218034,741182582,2023-02-20 00:00:00,2023-02-26 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",89,14684,-0.601886997,4979756,2209939,738499173,2023-02-13 00:00:00,2023-02-19 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,5,154,-0.803069054,70210,2686014,735679332,2023-11-06 00:00:00,2023-11-12 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,7,782,-0.038130381,350410,2685860,735609122,2023-10-30 00:00:00,2023-11-05 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,7,813,1,364351,2685078,735258712,2023-10-23 00:00:00,2023-10-29 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,250,1,65000,2684265,734894361,2023-04-10 00:00:00,2023-04-16 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,20,-0.692307692,2160,2684015,734829361,2023-02-20 00:00:00,2023-02-26 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,0,1,0,2684015,734829361,2023-03-20 00:00:00,2023-03-26 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,2,65,0.031746032,9810,2683995,734827201,2023-02-13 00:00:00,2023-02-19 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,63,-0.405660377,15222,2683930,734817391,2023-02-06 00:00:00,2023-02-12 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,2,106,-0.593869732,20568,2683867,734802169,2023-01-30 00:00:00,2023-02-05 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,2,261,0.572289157,48543,2683761,734781601,2023-01-23 00:00:00,2023-01-29 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,2,166,-0.305439331,29255,2683500,734733058,2023-01-16 00:00:00,2023-01-22 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,3,239,-0.170138889,53256,2683334,734703803,2023-01-09 00:00:00,2023-01-15 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,4,288,-0.227882038,66367,2683095,734650547,2023-01-02 00:00:00,2023-01-08 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,4,373,-0.148401826,85992,2682807,734584180,2022-12-26 00:00:00,2023-01-01 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,7,438,-0.719230769,106990,2682434,734498188,2022-12-19 00:00:00,2022-12-25 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,25,1560,-0.650928619,551365,2681996,734391198,2022-12-12 00:00:00,2022-12-18 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,25,4469,16.59448819,1652816,2680436,733839833,2022-12-05 00:00:00,2022-12-11 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",96,36884,-0.351147858,13146440,2195255,733519417,2023-02-06 00:00:00,2023-02-12 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,3,254,1.791208791,52389,2675967,732187017,2022-11-28 00:00:00,2022-12-04 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,2,91,-0.389261745,22605,2675713,732134628,2022-11-21 00:00:00,2022-11-27 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,3,149,-0.503333333,27070,2675622,732112023,2022-11-14 00:00:00,2022-11-20 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,6,300,-0.18699187,44095,2675473,732084953,2022-11-07 00:00:00,2022-11-13 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,7,369,-0.397058824,67850,2675173,732040858,2022-10-31 00:00:00,2022-11-06 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,21,612,-0.559395248,119620,2674804,731973008,2022-10-24 00:00:00,2022-10-30 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,39,1389,-0.677426846,380627,2674192,731853388,2022-10-17 00:00:00,2022-10-23 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,44,4306,0.147043154,1335585,2672803,731472761,2022-10-10 00:00:00,2022-10-16 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,47,3754,-0.173127753,1053386,2668497,730137176,2022-10-03 00:00:00,2022-10-09 00:00:00
